Vanvard	VANPN
EIN	PIFSN
ÓTRÚLIG	APSFSN
ARROGANSA	SFSN
FRÁ	ED
DØNUM	SMPD

Teir	PMPN
gjørdu	VNAP3
okkum	P1PD
eisini	DN
púra	DN
greitt	APSNSN
,	,
at	C
tóku	VNAP3
vit	P1PN
ikki	DN
av	ED
bankakanningini	SFSDA
,	,
so	DN
fingu	VNAP3
vit	P1PN
onga	PIFSA
kanning	SFSA
.	.

Í	ED
valstríðnum	SNSDA
fer	VNPS3
myndin	SFSNA
uttan	EA
iva	SMSA
at	CI
broytast	VE
nakað	DN
,	,
heldur	VNPS3
hann	PMSN
.	.

Men	C
ein	PIMSN
og	C
hvør	PIMSN
,	,
ið	CR
hugsar	VNPS3
um	EA
hesi	PDNPA
tingini	SNPAA
veit	VNPS3
,	,
at	C
hvørgin	PIMSN
av	ED
hasum	PDMPD
vongunum	SMPDA
hava	VNPP3
gongdu	APWFSA
leiðina	SFSAA
.	.

Stjórin	SMSNA
í	ED
Ísbú	SFSD
í	ED
Føroyum	SFPDL
sigur	VNPS3
,	,
at	C
Heilsufrøðiliga	APWFSN
Starvsstovan	SFSNA
lat	VNAS3
sending	SFSA
av	ED
frystum	APSMSD
laksi	SMSD
fara	VNPS3
av	ED
landinum	SNSDA
,	,
hóast	C
tey	PNPN
vistu	VNAP3
,	,
at	C
pappírini	SNPNA
søgdu	VNAP3
,	,
at	C
talan	SFSN
var	VNAS3
um	EA
feskan	APSMSA
laks	SMSA

Einum	PIMSD
í	ED
Fuglafirði	SMSDL
,	,
einum	PIMSD
í	ED
Gøtu	SFSDL
og	C
so	DN
frá	ED
Vestsalmon	F
.	.

Gekk	VNAS3
kortini	DN

Men	C
tað	PNSN
er	VNPS3
í	ED
grundini	SFSDA
ikki	DN
rætt	APSNSN
at	CI
selja	VI
frystan	APSMSA
laks	SMSA
sum	C
feskan	APSMSA
,	,
um	C
keyparin	SMSNA
ikki	DN
er	VNPS3
gjørdur	VAMSN
varugur	APSMSN
við	EA
hetta	PDNSA
,	,
verður	VNPS3
sagt	VA
av	ED
Starvsstovuni	SFSDA
.	.

Martin	SMSNP
Hendriksson	SMSAP
sigur	VNPS3
,	,
at	C
hann	PMSN
eigur	VNPS3
triðingin	SMSNA
av	ED
partapeninginum	SMSDA
í	ED
Ísbú	SFSD
í	ED
Føroyum	SFPDL
,	,
men	C
hann	PMSN
roknar	VNPS3
tann	PDMSA
peningin	SMSAA
sum	C
mistan	APSMSN
.	.

Løgmaður	SMSN
hevur	VNPS3
sett	VA
Herálv	SMSAP
Joensen	SXP
sum	C
deildarstjóra	SMSA
á	ED
oljumáladeildini	SFSDA
.	.

-	-
Hetta	PDNSN
er	VNPS3
fyrstu	NOFSD
ferð	SFSN
tíð	SFSN
er	VNPS3
sett	VAFSN
á	EA
málið	SNSAA
.	.

-	-
Hetta	PDNSN
er	VNPS3
fyrstu	NOFSN
ferð	SFSN
,	,
at	C
tíð	SFSN
er	VNPS3
sett	VAFSN
á	EN
.	.

-	-
Tað	PNSN
er	VNPS3
øllum	PINPD
kent	VANSN
,	,
at	C
teir	PMPN
byrjaðu	VNAP3
sítt	PNSA
krav	SNSA
stutt	APSNSN
sunnan	SMSAA
fyri	EA
Suðuroynna	SFSAAL
og	C
teir	PMPN
hava	VNPP3
gott	DN
nokk	DN
flutt	VA
seg	PMSA
eitt	PINSA
sindur	SNSA
á	ED
føroyska	APWMSD
landgrunninum	SMSDA
,	,
men	C
tað	PNSN
,	,
sum	CR
vit	P1PN
alla	APWFSA
tíðina	SFSAA
hava	VNPP3
havt	VA
sum	C
útgangsstøði	SNSA
,	,
er	VNPS3
,	,
at	C
vit	P1PN
hava	VNPP1
eitt	PINSA
petti	SNSA
,	,
sum	CR
er	VNPS3
millum	EA
bretsku	APWFSA
versiónina	SFSAA
av	ED
fiskarílinju	SFSD
og	C
tí	PDFSD
føroysku	APWFSD
.	.

Vit	P1PN
hava	VNPP1
slakað	VA
,	,
har	DN
tað	PNSN
sømir	VNPS3
seg	PNSA
,	,
men	C
tað	PNSN
er	VNPS3
eingin	PIMSN
ivi	SMSN
um	EA
,	,
hvar	C
viljin	SMSNA
skortar	VAMSN
.	.

Sosialurin	SMSNA
hevur	VNPS3
spurt	VA
leiðaran	SMSAA
í	ED
føroysku	APWFSD
samráðingarnevndini	SFSDA
,	,
Árna	SMSAP
Olafsson	SMSNP
,	,
nær	DN
nýggjur	APSMSN
fundur	SMSN
verður	VNPS3
millum	EA
partarnar	SMPAA
!	!

Hóast	C
mong	PINPN
vónaðu	VNAP3
,	,
at	C
teir	PMPN
fóru	VNAP3
at	CI
vinna	VI
á	ED
VÍF	T
sunnudagin	SMSAA
,	,
so	DN
mundu	VNAP3
tað	PNSN
neyvan	DN
verða	VNPP3
øll	PINPN
tey	PDNPN
somu	APWNPN
,	,
sum	C
trúðu	VNAP3
uppá	EA
møguleikan	SMSAA
.	.

Sjálvt	DN
um	C
Áki	SMSNP
Olsen	SXP
fekk	VNAS3
14	NC
mál	SNPA
,	,
so	DN
var	VNAS3
tað	PNSN
taktiskt	APSNSN
klókt	APSNSN
at	CI
mansverja	VI
Inga	SMSAP
Olsen	SXP
,	,
tí	C
hann	PMSN
dugir	VNPS3
so	DN
sera	DN
væl	DN
at	CI
fáa	VI
hinar	PDMPA
við	ED
,	,
hann	PMSN
skorar	VNPS3
ikki	DN
bara	DN
mál	SNPA
,	,
men	C
hann	PMSN
spælir	VNPS3
eisini	DN
upp	DN
til	EA
hinar	PDMPA
,	,
segði	VNAS3
Jákup	SMSNP
Símun	SMSNP
Simonsen	SXP
hjá	ED
H71	T
eftir	EA
dystin	SMSAA
.	.

Bóru	VNAP3
seg	PMSA
undan	DN
at	CI
taka	VI
brotskast	SNSA

Fleiri	ACSMPN
H71-arar	SMPN
bóru	VNAP3
seg	PMSA
undan	DN
at	CI
taka	VI
hetta	PDNSA
brotskastið	SNSAA
,	,
tí	C
tað	PNSN
hevði	VNAS3
avgerandi	VP
týdning	SMSA
fyri	EA
dystin	SMSAA
,	,
og	C
so	DN
tók	VNAS3
íslendski	APWMSN
venjarin	SMSNA
ábyrgdina	SFSAA
á	EA
sínar	PMSA
herðar	SFSG
og	C
skoraði	VNAS3
.	.

Fløgan	SFSNA
hjá	ED
Regini	SMSDP
,	,
sum	CR
kallast	VEPP3
Writing	F
you	F
a	F
Song	F
,	,
kom	VNAS3
út	DN
fyrr	DCN
í	EA
ár	SNSA
,	,
og	C
var	VNAS3
partvís	DN
upptikin	VAFSN
í	ED
USA	SNSDL
.	.

-	-
Hóast	C
lyklapersónar	SMPN
víða	DN
um	EA
landið	SNSAA
við	ED
jøvnum	APSNSD
millumbilum	SNSD
skipa	VNPP3
fyri	ED
tiltøkum	SNPD
,	,
so	DN
er	VNPS3
neyðugt	APSNSN
at	CI
hava	VI
ein	PIMSA
samskipara	SMSA
,	,
sigur	VNPS3
Anna	SFSNP
Samuelsen	SXP
,	,
formaður	SMSN
í	ED
AIDS	T
-	-
Ráðnum	SNSDA

Áðrenn	DN
almenna	APWMSA
fundin	SMSAA
fríggjadagin	SMSAA
,	,
boðaðu	VNAP3
stigtakararnir	SMPNA
frá	ED
,	,
at	C
fólk	SNPN
ístaðin	DN
fyri	EN
at	CI
gjalda	VI
atgongumerki	SNPA
,	,
kundu	VNAP3
lata	VI
AIDS	T
-	-
grunninum	SMSDA
eina	PIFSA
peningagávu	SFSA
.	.

Tað	PNSN
skal	VNPS3
eingin	PIMSN
ivi	SMSN
verða	VI
um	EA
,	,
at	C
vit	P1PN
fara	VNPP1
at	CI
krevja	VI
hvørja	PFSA
krónu	SFSA
aftur	DN
,	,
verða	VNPP1
vit	P1PN
fyri	ED
missi	SMSD
av	ED
einum	PINSD
ólógligum	APSNSD
verkfalli	SNSD

Arbeiðsgevaraformaðurin	SMSNA
sigur	VNPS3
,	,
at	C
hetta	PDNSN
er	VNPS3
ikki	DN
ein	PIFSN
hóttan	SFSN
,	,
hetta	PDNSN
er	VNPS3
ein	PIFSN
staðfesting	SFSN
av	ED
veruligu	APWFSD
støðuni	SFSDA
.	.

TÝSDAGIN	SMSNA
17	NC
.	.

februar	SMSA
.	.

Christian	SMSNP
Andreasen	SXP
eftirlýsir	VNPS3
eisini	DN
fundarfrásøgn	SFSD
frá	ED
aðalfundinum	SMSDA
hjá	ED
Smyril	SMSN
Line	F
.	.

Alt	DN
hetta	PDNSN
sigur	VNPS3
Christian	SMSNP
Andreasen	SXP
seg	PMSA
ikki	DN
kunna	VI
taka	VI
ábyrgdina	SFSAA
av	EN
,	,
og	C
tí	DN
boðar	VNPS3
hann	PMSN
avvarandi	VP
myndugleikum	SMPD
frá	EN
,	,
at	C
hann	PMSN
ikki	DN
ynskir	VNPS3
at	CI
taka	VI
við	ED
valinum	SNSDA
sum	C
nevndarlimur	SMSN
í	ED
Smyril	SMSN
Line	F
.	.

-	-
Eg	P1SN
rokni	VNPP3
við	EN
,	,
at	C
næmingarnir	SMPNA
kunnu	VNPP3
læra	VI
nógv	DN
hesar	PDMPA
dagarnar	SMPAA
.	.

Tann	PDMSN
fyrri	APWMSN
var	VNAS3
ímóti	ED
Hvidovre	F
seinasta	ASSMSA
týsdag	SMSA
,	,
og	C
tann	PDMSN
seinri	ACWNSN
var	VNAS3
sunnudagin	SMSAA
ímóti	ED
HIK	SX
Aalborg	F
.	.

-	-
Tá	C
vit	P1PN
spældu	VNAP3
ímóti	ED
Gentofte	F
fyri	ED
nøkrum	PIFPD
vikum	SFPD
síðani	DN
á	ED
teirra	PFPG
heimavølli	SMSD
,	,
taptu	VNAP3
vit	P1PN
tepurt	APSNSN
2	NC
-	-
3	NC
.	.

Men	C
soleiðis	DN
er	VNPS3
støðan	SFSNA
í	EA
dag	SMSA

Hesir	PDMPN
bussarnir	SMPNA
kosta	VNPP3
oman	DN
fyri	EA
2	NC
milliónir	SFPA
stykkið	SNSNA
.	.

»	»
Bót	SFSN
til	EA
Bata	SMSA
»	»
10	NC
ár	SFSN

Tá	C
hesi	PDNPN
viðurskifti	SNPN
skuldu	VNAP3
kannast	VE
í	ED
Føroyum	SFPDL
,	,
var	VNAS3
trupulleikin	SMSNA
,	,
at	C
ongar	PIFPN
skrásetingar	SFPN
eru	VNPP3
tøkar	APSFPN
áðrenn	DN
1995	NC
.	.

Áður	SFPNA
fóru	VNAP3
krabbameinssjúklingar	SMPN
til	EG
Danmarkar	SNSGL
at	CI
fáa	VI
kemo	F
-	-
terapi	SFSA
og	C
aðra	PIFSA
viðgerð	SFSA
fyri	EA
krabbamein	SNSA
,	,
men	C
í	ED
flestu	ASSNPD
førum	SNPD
verður	VNPS3
viðgerðin	SFSNA
nú	DN
gjørd	VAFSN
í	ED
Føroyum	SFPDL
.	.

Hann	PMSN
er	VNPS3
skurðlækni	SMSN
og	C
hevur	VNPS3
við	EA
krabbameinssjúklingar	SMPA
at	CI
gera	VI
.	.

Nóg	DN
mikið	APSNSN
at	CI
kanna	VI
tær	PFPA
50	NC
-	-
67	NC
ára	SNPG
gomlu	APWFPA

Ein	PIMSN
teirra	PNPG
er	VNPS3
Fríðrikur	SMSNP
Bláhamar	SMSN
,	,
sum	CR
er	VNPS3
stjóri	SMSN
á	ED
dekksøluni	SFSDA
Super	F
Dekk	F
í	ED
Havn	SFSDL
.	.

So	DN
tá	DN
fólk	SNPN
tosa	VI
um	DN
,	,
at	C
píkadekkið	SNSNA
er	VNPS3
so	DN
sera	DN
gott	APSNSN
í	ED
tjúkkum	APSMSD
kava	SMSD
,	,
so	DN
er	VNPS3
tað	PNSN
tí	C
,	,
at	C
talan	SFSN
er	VNPS3
um	EA
eitt	PINSA
lamelldekk	SNSA
,	,
sigur	VNPS3
hann	PMSN
.	.

Tað	PNSA
eru	VNPP3
sjálvandi	DN
undantøk	SNPN
,	,
eitt	PINSN
nú	DN
fólk	SNPN
,	,
sum	CR
búgva	VI
við	EA
Gjógv	SFSAL
og	C
sum	CR
skulu	VNPP3
koyra	VI
um	EA
skarðið	SNSAA
hvønn	PINSN
dag	SMSA
-	-
eisini	DN
við	ED
børnum	SNPD
.	.

Býbussarnir	SMPNA
hjá	ED
okkum	P1PD
hava	VI
í	EA
fleiri	ACSNPA
ár	SNPA
koyrt	VA
við	ED
hesum	PDNPD
dekkum	SNPD
,	,
og	C
nú	DN
er	VNPS3
helmingurin	SMSNA
av	ED
býbussunum	SMPDA
í	ED
Havn	SFSDL
skøddir	VNPP3
við	ED
hesum	PDNPD
dekkum	SNPD
.	.

Her	DN
liggur	VNPS3
eitt	PINSN
krevjandi	VP
og	C
rúgvusmikið	APSNSN
arbeiði	SNSN
fyri	EA
framman	DN
,	,
bæði	DN
tá	C
talan	SFSN
er	VNPS3
um	DN
at	CI
gera	VI
sjálvt	DN
utbjóðingartilfarið	SNSAA
klárt	APSNSN
og	C
at	CI
viðgera	VI
umsóknirnar	SMPAA
.	.

Tað	PNSN
eru	VNPP3
helst	DSN
teir	PMPN
,	,
sum	CR
halda	VI
,	,
at	C
sjálvandi	DN
skulu	VNPP3
manningar	SMPN
á	ED
seismikkskipum	SNPD
gjalda	VI
skatt	SMSA
her	DN
,	,
meðan	C
onnur	PINPN
seta	VI
spurningin	SMSAA
,	,
hví	DN
júst	DN
hesar	PDFPN
manningar	SFPN
og	C
ikki	DN
manningar	SFPN
á	ED
øðrum	PINSD
skipum	SNPD
,	,
sum	CR
arbeiða	VI
á	ED
landgrunninum	SMSDA
skulu	VNPP3
gjalda	VI
skatt	SMSA
.	.

Spurningurin	SMSNA
her	DN
er	VNPS3
eisini	DN
í	EA
hvønn	PMSA
mun	SMSA
vit	P1PN
eiga	VNPP1
at	CI
taka	VI
hædd	SFSA
fyri	ED
lækkandi	VP
oljuprísunum	SMPDA
og	C
harvið	DN
møguleikunum	SMPDA
hjá	ED
vinnuni	SFSDA
.	.

Keldur	SFPN
,	,
sum	CR
standa	VNPP3
málinum	SNSDA
nær	DN
,	,
siga	VNPP3
,	,
at	CI
Dúgvan	SFSNA
er	VNPS3
ikki	DN
endaliga	DN
avskrivað	VAFSN
enn	DN
.	.

Og	C
tað	PNSN
verður	VNPS3
ikki	DN
dult	VANSN
fyri	EN
,	,
at	C
ein	PIMSN
møguleiki	SMSN
,	,
sum	CR
verður	VNPS3
kannaður	VAMSN
,	,
er	VNPS3
at	CI
fáa	VI
skipasmiðjuna	SFSAA
at	CI
bera	VI
skjótari	ACSMSN
at	DN
við	ED
Smyrli	SMSD
.	.

Hinvegin	DN
er	VNPS3
tað	PNSN
eisini	DN
ein	PIMSN
stórur	APSMSN
spurningur	SMSN
,	,
hvaðani	DN
pengarnir	SMPNA
skulu	VNPP3
útvegast	VE
til	EA
eitt	PINSA
størri	ACSNSA
avloysaraskip	SNSA
enn	DN
Dúgvuna	SFSAA
.	.

Eitt	PINSN
av	ED
hesum	PDNPD
var	VNAS3
,	,
at	CI
»	»
tað	PNSN
stendur	VNPS3
fast	DN
,	,
at	CI
einasta	ASSNSN
brúkiliga	APWNSN
alternativ	SNSN
,	,
sum	C
enn	DN
er	VNPS3
komið	VANSN
fram	DN
,	,
er	VNPS3
uppskotið	SNSNA
hjá	ED
Fólkaflokkinum	SMSDA
um	EA
eina	PIFSA
fólkatrygging	SFSA
«	«
.	.

Og	C
samhaldsfasti	SMSD
ger	VNPS3
hetta	PDNSN
til	EA
eina	PIFSA
almenna	APSFSA
uppgávu	SFSA
,	,
segði	VNAS3
hann	PMSN
.	.

Talan	SFSN
er	VNPS3
um	EN
at	CI
gera	VI
kanningar	SFPA
fyri	EA
bæði	DN
Amerada	F
Hess	F
og	C
Norsk	F
Hydro	F
.	.

Vit	P1PN
vóna	VNPP3
at	CI
kunna	VI
síggja	VI
botnin	SMSAA
á	ED
basaltinum	SNSDA
og	C
tann	PDMSA
dag	SMSA
vit	P1PN
gera	VNPP3
tað	PNSA
,	,
tá	C
má	VNPS3
hetta	PDNSN
sigast	VE
at	CI
vera	VI
eitt	PINSN
satt	APSNSN
gjøgnumbrot	SNSN
sigur	VNPS3
Leif	SMSNP
Larsen	SXP
.	.

Tað	PNSN
vóru	VNAP3
ikki	DN
míni	P1PN
sjónarmið	SNPN

Eg	P1SN
havi	VNPS1
bert	DN
staðfest	VA
,	,
at	CI
semja	SFSN
var	VNAS3
ikki	DN
í	ED
tingmannabólkinum	SMSDA
um	EA
samráðingarleiðaran	SMSAA
,	,
og	C
at	C
bólkurin	SMSNA
vildi	VNAS3
bíða	VI
við	EN
at	CI
gera	VI
nakað	PINSA
,	,
áðrenn	DN
vit	P1PN
vistu	VNAP3
um	EA
Den	F
Danske	F
Bank	F
gekk	VNAS3
við	EN
til	EN
at	CI
leingja	VI
fyrningarfreistina	SFSAA
.	.

Ein	PIFSN
orsøk	SFSN
er	VNPS3
at	CI
Den	F
Danske	F
Bank	F
setir	VNPS3
so	DN
stór	APSNPA
krøv	SNPA
,	,
áðrenn	C
tað	PNSN
bert	DN
ber	VNPS3
til	EN
at	CI
tosa	VI
um	EN
at	CI
leingja	VI
freistina	SFSAA
,	,
annað	PINSN
er	VNPS3
,	,
at	C
peningastovnurin	SMSNA
vil	VNPS3
hava	VI
eina	PIFSA
uppgerð	SFSA
,	,
sum	CR
ikki	DN
kann	VNPS3
gerast	VE
,	,
og	C
sum	CR
eingin	PIMSN
hevur	VNPS3
møguleika	SMSA
at	CI
kenna	VI
úrslitið	SNSAA
av	DN
.	.

Tað	PNSN
eru	VNPP3
í	ED
grundini	SFSDA
óverdugt	APSNSN
um	EN
Føroyar	SFPNL
skulu	VNPP3
stevna	VI
,	,
fyri	EN
at	CI
fáa	VI
sín	PMSG
vilja	SMSA
.	.

Tað	PNSN
vildi	VNAS1
eg	P1SN
hildið	VA
.	.

Vanligt	APSNSN
telduarbeiði	SNSN
,	,
sum	CR
eitt	PINSN
nú	DN
skrivstovuarbeiði	SNSN
,	,
har	DN
tú	P2SN
situr	VNPS2
framman	DN
fyri	ED
telduni	SFSDA
dagin	SMSAA
langan	APSMSA
og	C
ger	VNPS3
sama	APWNSA
arbeiðið	SNSAA
við	ED
lítlari	APSFSD
og	C
ongari	APSFSD
variasjón	SFSD
,	,
kann	VNPS3
geva	VI
tær	P2SD
støðuga	APSFSA
pínu	SFSA
í	EA
øksl	SFSA
,	,
arm	SMSA
,	,
alboga	SMSA
,	,
handlið	SFSA
,	,
fremstafingur	SMSA
og	C
tummil	SMSA
.	.

-	-
Vit	P1PN
síggja	VNPP3
lættari	ACSNPA
og	C
verri	ACSNPA
tilfeldi	SNPA
,	,
men	C
í	ED
høvuðsheitum	SNPD
gera	VNPP3
fólk	SNPN
ikki	DN
vart	APSNSA
við	EA
seg	PNPA
fyrr	DCN
enn	DN
tað	PNSN
er	VNPS3
komið	VANSN
hartil	DN
,	,
at	C
tey	PNPN
ikki	DN
eru	VNPP3
pínuleys	APSNPN
í	ED
frítíðini	SFSDA
.	.

Har	DN
eru	VNPP3
nógvar	APSFPN
loysnir	SFPN
.	.

Men	C
tað	PNSN
týdningarmesta	ASWNSN
av	ED
øllum	PINPD
er	VNPS3
,	,
at	CI
tú	P2SN
avmarkar	VNPS2
nýtsluna	SFSAA
av	ED
músini	SFSDA
sum	CR
minst	DSN
,	,
tí	C
ongar	PIFPN
arbeiðsstøður	SFPN
eru	VNPP3
so	DN
góðar	APSFPN
,	,
at	CI
tú	P2SN
kanst	VNPS2
sita	VI
fleiri	ACSMPA
samanhangandi	VP
tímar	SMPA
uttan	DN
at	CI
fáa	VI
trupulleikar	SMPA
.	.

Músaskaðar	SMPN
eru	VNPP3
ikki	DN
viðurkendir	VAMPN
skaðar	SMPN
enn	DN
.	.

Tá	C
ið	CR
hesi	PDNPN
,	,
sum	CR
byrja	VNPP3
smá	APSNPA
at	CI
sita	VI
nógvar	APSMPA
tímar	SMPA
framman	DN
fyri	ED
telduni	SFSDA
kanska	DN
við	ED
telduspølum	SMPD
,	,
eina	PIFSA
ferð	SFSA
seinni	DN
gera	VI
vart	APSNSN
við	ED
árinini	SNPDA
,	,
verður	VNPS3
tað	PNSN
ikki	DN
talan	SFSN
um	EA
músaskaðar	SMPAA
,	,
men	C
nógv	APSMPA
størri	ACSMPA
skaðar	SMPA
.	.

Finn	SMSNP
Thomsen	SXP
,	,
formaður	SMSN
í	ED
TB	T
,	,
sigur	VNPS3
,	,
at	C
fyrireikararnir	SMPNA
hava	VNPP3
lagt	VA
eitt	PINSA
sera	DN
stórt	APSNSA
arbeiði	SNSA
í	EN
at	CI
gera	VI
eina	PIFSA
so	DN
fjølbroytta	APSFSA
og	C
professionella	APSFSA
stevnu	SFSA
sum	C
til	EN
ber	VNPS3
.	.

Men	C
hóast	C
mangt	APSNSN
og	C
hvat	PNSN
forvitnisligt	APSNSN
verður	VNPS3
at	CI
síggja	VI
,	,
verður	VNPS3
ein	PIMSN
tann	PDMSN
størsti	ASWMSN
áskoðaramagneturin	SMSNA
á	ED
allari	APWFSD
framsýningini	SFSDA
uttan	DN
iva	SMSA
tey	PDNPN
bæði	PINPN
stóru	APWNPN
modellini	SNPNA
,	,
sum	CR
Saga	F
Petroleum	F
fer	VNPS3
at	CI
seta	VI
vísa	VI
fram	DN
.	.

Og	C
tað	PNSN
eigur	VNPS3
at	CI
verða	VI
nevnt	VANSN
,	,
sum	CR
nakað	PINSN
forkunnugt	APSNSN
á	ED
eini	PIFSD
sølustevnu	SFSD
,	,
at	C
eisini	DN
Bókagarður	SMSN
fer	VNPS3
at	CI
vísa	VI
eitt	PINSA
úrval	SNSA
av	ED
øllum	APSFPD
teimum	PDFPD
dygdarbókum	SFPD
,	,
sum	CR
forlagið	SNSNA
hevur	VNPS3
givið	VA
út	DN
