-	KO
øvugt	DN
,	KC
sigur	VNPS3
løgreglan	SFSNA
við	DG
Bergens	F
Tiden	F

Síðan	DN
hevur	VNPS3
dansurin	SMSNA
gingið	VANSN
sum	C
vanligt	APSNSN
,	KC
at	C
tann	PDMSN
,	KC
sum	CR
hug	SMSA
hevur	VNPS3
,	KC
hevur	VNPS3
tikið	VANSN
eina	PBFSA
vísu	SFSA
.	KE

Og	C
sjálvandi	DN
eisini	DN
onnur	PBNPN
,	KC
ið	CR
bara	DN
hava	VNPP3
áhuga	SMSA
fyri	DG
føroyskum	APSMSD
dansi	SMSD
.	KE

Eitt	DN
nú	DN
ein	PBMSN
ríkisfundur	SMSN
ella	C
ein	PBMSN
kommunusamanleggin	SFSN
.	KE

Og	C
heiman	DN
fyri	DG
hólmin	SMSAA
er	VNPS3
Sundið	SNSNAP
rættiliga	DN
gruggut	APSNSN
.	KE

Tað	PPNSN
livir	VNPS3
nakað	DN
væl	DN
,	KC
og	C
alneyðugt	APSNSN
er	VNPS3
við	DG
fríhaldum	SNPD
,	KC
tí	C
hesir	PDMPN
nýggju	APWMPN
glastrevjabátarnir	SMPNA
tola	VNPP3
ikki	DN
tað	PPNSA
,	KC
sum	CR
tann	PDMSN
gamli	APWMSN
báturin	SMSNA
gjørdi	VNAS3
.	KE

Fara	VI
inn	DN
í	DG
tað	PPNSA
gamla	APWNSA
,	KC
men	C
gera	VI
skjótt	DN
av	DN
,	KC
tí	C
trongligt	APSNSN
er	VNPS3
.	KE

Tíma	VNPP3
ikki	DN
at	CI
ómaka	VI
sær	PPMPD
at	CI
rýma	VI
.	KE

Onlur	PBMSN
hendinga	APSMSN
lundi	SMSN
kemur	VNPS3
baksandi	VP
uttan	DN
av	DG
havinum	SNSDA
og	C
hvørvur	VNPS3
undir	DG
heilt	DN
her	DN
í	DG
upsini	SFSDA
.	KE

Tykist	VEPS3
dáma	VI
væl	DN
hetta	PDNSA
spælið	SNSAA
.	KE

Og	C
tað	PPNSN
gongur	VNPS3
upp	DN
á	DG
stás	SNSA
.	KE

Tað	PPNSN
sirmar	VNPS3
framhaldandi	VP
,	KC
tá	C
báturin	SMSNA
kemur	VNPS3
aftur	DN
.	KE

Men	C
tað	PPNSN
man	VNPS3
fara	VI
at	CI
laga	VI
seg	PPNSA
,	KC
tá	C
tann	PDFSN
tíð	SFSN
kemur	VNPS3
.	KE

Í	DG
vár	SNSA
bleiv	VNAS3
Mijailo	F
Mijailovic	F
dømdur	VAMSN
lívlanga	APSFSA
fongsulsrevsing	SFSA
fyri	DN
at	CI
hava	VI
myrt	VANSN
svenska	APWMSA
uttanríkisráðharran	SMSAA
,	KC
Onnu	SFSAP
Lindh	SXP
,	KC
tann	PDMSN
10.	NO
september	SMSA
í	DG
fjør	SNSA
.	KE

Ein	PBMSN
partur	SMSN
av	DG
semjuni	SFSDA
var	VNAS3
at	CI
broyta	VI
skipanina	SFSAA
við	DG
,	KC
at	C
tey	PDNPN
stóru	APWNPN
apotekini	SNPNA
skulu	VNPP3
stuðla	VI
teimum	PDNPD
smáu	APWNPD
.	KE

Einir	PBNPN
100	NO
íslendingar	SMPN
vitjaðu	VNAP3
Vág	SMSAP
í	DG
samband	SNSA
við	DG
avdúkingina	SFSAA

Kona	SFSN
Jógvan	SMSAP
,	KC
Guðja	SFSNP
,	KC
var	VNAS3
íslendsk	APSFSN
,	KC
og	C
stutt	DN
eftir	DN
at	CI
Jógvan	SMSNP
var	VNAS3
burturgingin	VAMSN
,	KC
flutti	VNAS3
Guðja	SFSNP
aftur	DN
til	DG
Ísland	SNSAP
og	C
hevði	VNAS1
øll	PBNPA
børnini	SNPAA
við	DN
.	KE

Støðan	SFSNA
í	DG
dag	SMSA
minnir	VNPS3
nógv	DN
um	DG
imperialismu	SFSA
,	KC
har	DN
annar	PBMSN
parturin	SMSNA
ger	VNPS3
sær	PPMSD
dælt	APSNSA
av	DG
hinum	PDMSD
,	KC
sigur	VNPS3
ein	PBMSN
bersøgin	APSMSN
Jóannes	SMSNP
Eidesgaard	SXP
,	KC
formaður	SMSN
Javnaðarfloksins	SMSGA
í	DG
viðmerking	SFSD
til	DG
spentu	APWFSA
støðuna	SFSAA
millum	DG
Føroyar	SFPAP
og	C
Danmark	SNSAP
og	C
til	DG
veljarakanningina	SFSAA
,	KC
ið	CR
gevur	VNPS3
Sambands-	SMSDA
og	C
Tjóðveldisflokkinum	SMSDA
størstu	ASWFSA
undirtøkuna	SFSAA

Hetta	PDNSN
sigur	VNPS3
Jóannes	SMSNP
Eidesgaard	SXP
í	DG
viðmerking	SFSD
til	DG
veljarakanningina	SFSAA
,	KC
sum	CR
varð	VNAS3
almannakunngjørd	VAFSN
í	DG
Dimmalætting	SFSD
leygardagin	SMSAA
.	KE

Men	C
hann	PPMSN
heldur	VNPS3
,	KC
at	C
tá	C
til	DG
stykkis	SNSG
kemur	VNPS3
,	KC
fara	VNPP3
teir	PDMPN
hóvligaru	ASWMPN
flokkarnir	SMPNA
at	CI
vinna	VI
nakað	PBNSA
aftur	DN
.	KE

Teir	PPMPN
hava	VNPP3
ikki	DN
uppiborið	APSNSA
nakað	PBNSA
annað	PBNSA
,	KC
og	C
fyri	DG
okkara	PP1PG
egnu	APSFSA
sjálvsvirðing	SFSA
noyðast	VEPP3
vit	PP1PN
at	CI
taka	VI
hesi	PDNPA
viðurskiftini	SNPAA
til	DG
viðgerðar	SFSG

«	KQ

»	KQ
Tað	PPNSN
kann	VNPS3
gott	DN
vera	VI
,	KC
at	CI
alt	PBNSN
varð	VNAS3
sent	VANSN
undir	DG
nummarinum	SNSDA
hjá	DG
Vestsalmon	F
,	KC
«	KQ
sigur	VNPS3
Martin	SMSNP
Hendriksson	SMSNP
.	KE

Men	C
tá	C
Martin	SMSNP
Hendriksson	SMSNP
so	DN
hevði	VNAS3
greitt	VANSN
Starvsstovuni	SFSDA
frá	DG
,	KC
at	C
talan	SFSN
var	VNAS3
um	DG
frystan	APSMSA
laks	SMSA
,	KC
sum	CR
bara	DN
var	VNAS3
skrivaður	VAMSN
sum	C
feskur	APSMSN
,	KC
fekk	VNAS3
hann	PPMSN
at	CI
vita	VI
,	KC
at	C
alt	DN
var	VNAS3
í	DG
lagi	SNSD
,	KC
sigur	VNPS3
Martin	SMSNP
Hendriksson	SMSAP
.	KE

Soleiðis	DN
,	KC
at	C
Starvsstovan	SFSNA
kann	VNPS3
fylgja	VI
við	DG
,	KC
at	C
tað	PPNSN
ikki	DN
er	VNPS3
nýliga	DN
heilivágsviðgjørdur	VAMSN
fiskur	SMSN
,	KC
sum	CR
tikin	VAMSN
verður	VNPS3
.	KE

Martin	SMSNP
Hendriksson	SMSAP
noktar	VNPS3
blankt	APSNSN
fyri	DG
,	KC
at	C
hann	PPMSN
er	VNPS3
millum	DG
teirra	PPMPG
,	KC
sum	CR
ætla	VNPP3
at	CI
leiga	VI
virkið	SNSAA
hjá	DG
Nósa	SMSD
í	DG
Oyndarfirði	SMSDP
aftur	DN
.	KE

Hann	PPMSN
hevur	VNPS3
m.a.	TS
tikist	VEPS3
við	DN
at	CI
gera	VI
forkanningarloyvi	SNPA
og	C
samráddist	VNAS3
vegna	DG
Oljufyrisitingina	SFSAA
við	DG
oljufeløgini	SNPAA
,	KC
sum	CR
fingu	VNAP3
loyvi	SNSA
at	CI
bora	VI
í	DG
Lopra	SFSDP
.	KE

-	KO
Vit	PP1PN
eru	VNPP1
noyddir	VAMPN
til	DN
at	CI
taka	VI
hædd	SFSA
fyri	DG
føroyskum	APSNPD
áhugamálum	SNPD
,	KC
og	C
tí	C
hava	VNPP1
vit	PP1PN
tikið	VANSN
fyrivarni	SNSA
í	DG
hesum	PDNSD
málinum	SNSDA
.	KE

Nú	DN
bíða	VNPP3
vit	PP1PN
spentir	APSMPN
eftir	DG
at	CI
síggja	VI
,	KC
hvat	PQNSN
bretar	SMPN
meina	VNPP3
við	DN
og	C
nær	DN
teir	PPMPN
koma	VNPP3
við	DG
nøkrum	PBNPD
,	KC
sum	CR
líkist	VEPS3
einum	PBNSD
samráðingaruppleggi	SNSD
millum	DG
tvey	NCNPA
lond	SNPA
,	KC
sum	CR
eru	VNPP3
grannalond	SNPN
og	C
sum	C
skulu	VNPP3
liva	VI
í	DG
sátt	SFSD
og	C
semju	SFSD
og	C
góðum	APSNSD
grannalag	SNSD
og	C
vónandi	DN
í	DG
samstarvi	SNSD
í	DG
framtíðini	SFSDA
.	KE

So	DN
leingi	DN
ein	PBMSN
ikki	DN
góðtekur	VNPS3
,	KC
at	C
tað	PPNSN
er	VNPS3
hetta	PDNSN
vit	PP1PN
skulu	VNPP1
semjast	VE
um	DN
,	KC
so	DN
kann	VNPS3
ein	PBMSN
ikki	DN
siga	VI
,	KC
at	C
tað	PPNSN
er	VNPS3
nakar	PBMSN
vilji	SMSN
frá	DG
bretskari	APSFSD
síðu	SFSD
at	CI
fáa	VI
eina	PBFSA
veruliga	APSFSA
loysn	SFSA
,	KC
sum	CR
sømir	VNPS3
seg	PPMSA
.	KE

-	KO
Verður	VNPS3
einki	PBNSN
úrslit	SNSN
fyri	DG
hálvan	APSMSA
januar	SMSA
og	C
málið	SNSNA
verður	VNPS3
tikið	VANSN
upp	DN
politiskt	APSNSN
,	KC
verða	VNPP3
tað	PPNSN
so	DN
ikki	DN
Nyrup	SXP
og	C
uttanríkisráðharrin	SMSNA
,	KC
sum	CR
koma	VNPP3
at	CI
taka	VI
sær	PPMSD
av	DG
málinum	SNSDA
og	C
ikki	DN
vit	PP1PN
føroyingar	SMPN
!	KE

Tað	PPNSN
var	VNAS3
skilagott	APSNSN
at	CI
mansverja	VI
Inga	SMSAP
Olsen	SXP

VÍF	TS
spældi	VNAS3
væl	DN
,	KC
H71	TS
eisini	DN
,	KC
og	C
so	DN
stríddust	VEAP3
liðini	SNPNA
um	DG
hvønn	PBMSA
tumma	SMSA
á	DG
vøllinum	SMSDA
,	KC
um	DG
hvønn	PBMSA
bólt	SMSA
og	C
fyri	DG
hvørjum	PQMSD
møguleika	SMSA
at	CI
fáa	VI
avgerandi	VP
munin	SMSAA
í	DG
dystinum	SMSDA
.	KE

Men	C
tað	PPNSN
krevur	VNPS3
nógv	APSNSN
.	KE

Síðani	DN
royndu	VNAP3
bæði	PBNPN
liðini	SNPNA
at	CI
leggja	VI
seg	PPNSA
fram	DN
um	DN
,	KC
men	C
so	DN
javnaði	VNAS3
hitt	PDNSN
aftur	DN
.	KE

Amerikanskt	APSNSN
plátufelag	SNSN
lokkar	VNPS3
Regin	SMSAP
Guttesen	SXP

Tað	PPNSN
er	VNPS3
uttan	DN
iva	SMSA
við	DN
til	DG
at	CI
plátufelagið	SNSNA
er	VNPS3
áhugað	APSNSN
í	DG
at	CI
gera	VI
sáttmála	SMSA
við	DG
meg	PP1SA
.	KE

Ein	PBMSN
partur	SMSN
av	DG
upphæddini	SFSDA
leyp	VNAS3
av	DN
,	KC
og	C
sjúkrasystranæmingarnir	SMPNA
gjørdu	VNAP3
av	DN
at	CI
lata	VI
peningin	SMSAA
til	DG
AIDS	TS
-	KO
Ráðið	SNSAA
í	DG
Føroyum	SFPDP
.	KE

Teir	PPMPN
skipa	VNPP3
javnan	DN
fyri	DG
tiltøkum	SNPD
,	KC
men	C
at	C
neyðugt	APSNSN
er	VNPS3
við	DG
einum	PBMSD
samskipara	SMSD
í	DG
hesum	PDNSD
arbeiðnum	SNSDA
.	KE

Tað	PPNSN
var	VNAS3
eitt	PBNSN
tað	PDNSN
fyrsta	ASWNSN
,	KC
vit	PP1PN
viðtóku	VNAP1
,	KC
tá	C
ið	C
vit	PP1PN
frættu	VNAP1
um	DG
hesar	PDFPA
hóttanirnar	SFPAA
.	KE

Tað	PPNSA
skulu	VNPP3
vit	PP1PN
heldur	DCN
ikki	DN
revsast	VE
fyri	DN

Sosialurin	SMSNA
hevur	VNPS3
fingið	VANSN
innlit	SNSA
í	DG
brævið	SNSAA
,	KC
sum	CR
Christian	SMSNP
Andreasen	SXP
skrivaði	VNAS3
til	DG
landsstýrismannin	SMSAA
í	DG
Vinnumálum	SNPD
mánadagin	SMSAA
19.	NO
februar	SMSN
.	KE

Christian	SMSNP
Andreasen	SXP
eftirlýsir	VNPS3
eisini	DN
fundarfrásøgn	SFSD
frá	DG
aðalfundinum	SMSDA
hjá	DG
Smyril	SMSN
Line	F
.	KE

Alt	DN
hetta	PDNSN
sigur	VNPS3
Christian	SMSNP
Andreasen	SXP
seg	PPMSA
ikki	DN
kunna	VI
taka	VI
ábyrgdina	SFSAA
av	DN
,	KC
og	C
tí	DN
boðar	VNPS3
hann	PPMSN
avvarandi	VP
myndugleikum	SMPD
frá	DN
,	KC
at	C
hann	PPMSN
ikki	DN
ynskir	VNPS3
at	CI
taka	VI
við	DG
valinum	SNSDA
sum	C
nevndarlimur	SMSN
í	DG
Smyril	SMSN
Line	F
.	KE

Hetta	PDNSN
er	VNPS3
eitt	PBNSN
áhugavert	APSNSN
samstarv	SNSN
,	KC
sum	CR
sjálvandi	DN
ikki	DN
skal	VNPS3
misbrúkast	VE
,	KC
sigur	VNPS3
Símun	SMSNP
Petur	SMSNP
Hjelm	SXP
,	KC
stjóri	SMSN
í	DG
skúlanum	SMSDA
við	DG
Ósánna	SFSAAP
.	KE

Serliga	DN
dysturin	SMSNA
móti	DG
HIK	SX
var	VNAS3
týdningarmikil	SMSN
og	C
skuldi	VNAS3
vinnast	VE
,	KC
um	DN
føroysku	APWFSN
kvinnunar	SFPNA
skuldu	VNAP3
varðveita	VI
møguleikan	SMSAA
at	CI
koma	VI
í	DG
semifinaluna	SFSAA
um	DG
danska	APWNSA
meistaraheitið	SNSAA
.	KE

Støðan	SFSNA
er	VNPS3
beint	DN
nú	DN
,	KC
at	C
DHG	TS
er	VNPS3
á	DG
odda	SMSD
við	DG
fullum	APSNSD
stigatali	SNSD
og	C
Holte	F
liggur	VNPS3
nr.	TT
2.	NO
Holte	F
hevur	VNPS3
bert	DN
tapt	VANSN
ímóti	DG
DHG	TS
.	KE

Tá	C
ein	PBFSN
bussverksmiðja	SFSN
selur	VNPS3
ein	PBMSA
buss	SMSA
,	KC
er	VNPS3
tað	PPNSN
vanliga	DN
bara	DN
undirvognin	SMSAA
,	KC
teir	PPMPN
selja	VI
.	KE

Serfrøðingar	SMPN
í	DG
Danmark	SNSDP
vitjaðu	VNAP3
og	C
greiddu	VNAP3
frá	DG
gransking	SFSD
og	C
viðgerð	SFSD
í	DG
samband	SNSA
við	DG
bróstkrabbamein	SNSA
.	KE

Tað	PPNSN
vóru	VNAP3
teir	PPMPN
báðir	PBMPN
Mogens	SXP
Blichert	SXP
-	KO
Toft	SXP
,	KC
professari	SMSN
í	DG
krabbameissjúkum	SFSD
og	C
Carsten	SXP
Rose	SXP
,	KC
onkologur	SMSN
,	KC
sum	CR
fæst	VNPS3
við	DG
eftirviðgerð	SFSA
av	DG
bróstkrabba	SMSD
.	KE

Hagtølini	SNPNA
er	VNPS3
kortini	DN
so	DN
fesk	APSNPN
,	KC
og	C
vit	PP1PN
hava	VNPP3
ikki	DN
gjørt	VANSN
sundurgreinandi	VP
kanningar	SFPA
um	DN
t.d.	TS
,	KC
hvussu	DN
nógv	APSNSN
sleppa	VI
undan	DN
sjúkuni	SFSDA
og	C
hvussu	DN
møguleikarnir	SMPNA
eru	VNPP3
fyri	DG
at	CI
yvirliva	VI
.	KE

Trupulleikarnir	SMPNA
í	DG
Danmark	SNSDP
eru	VNPP3
tær	PDFPN
longu	APWFPN
bíðitíðirnar	SFPNA
til	DG
viðgerð	SFSA
og	C
eftirviðgerð	SFSA
,	KC
og	C
har	DN
verða	VI
føroyingar	SMPN
ikki	DN
tiknir	VAMPN
fram	DN
um	DG
danir	SMPA
.	KE

Eini	PBFSD
20	NO
tilburðir	SMPN
av	DG
bróstkrabba	SMSD
eru	VNPP3
árliga	DN
í	DG
Føroyum	SFPDP
,	KC
men	C
læknarnir	SMPNA
vita	VI
sum	CR
s	DN
agt	VNAS3
ikki	DN
,	KC
hvussu	DN
leingi	DN
sjúklingarnir	SMPNA
liva	VI
,	KC
og	C
heldur	DCN
ikki	DN
,	KC
hvussu	DN
leingi	DN
sjúkan	SFSNA
hevur	VNPS3
gjørt	VANSN
um	DG
seg	PPMSA
,	KC
áðrenn	C
hon	PPFSN
verður	VNPS3
staðfest	VAFSN
.	KE

Tað	PPNSN
er	VNPS3
tó	DN
treytað	VANSN
av	DN
at	C
vit	PP1PN
hava	VI
góðar	APSFPA
umstøður	SFPA
,	KC
vant	VANSA
starvsfólk	SNSA
og	C
góða	APSFSA
røntgenútgerð	SFSA
,	KC
sigur	VNPS3
Eliesar	SMSNP
Olsen	SXP
.	KE

Super	F
Dekk	F
í	DG
Havn	SFSDP
hevur	VNPS3
selt	VANSN
dekk	SNPA
í	DG
mong	SMSA
ár	SNSA
og	C
umboðar	VNPS3
nú	DN
Goodyear	F
-	KO
amerikanska	APWNSA
dekkmerkið	SNSAA
,	KC
sum	CR
fyrr	DCN
í	DG
ár	SNSA
fylti	VNAS3
100	NO
ár	SMPN
.	KE

Afturat	DN
hesum	PDNSD
,	KC
so	DN
eru	VNPP3
vetrardekkini	SNPNA
gjørd	VANPN
úr	DG
aðrari	PBFSD
gummiblanding	SFSD
við	DG
meira	DCN
av	DG
rágummi	SNSD
í	DN
.	KE

Fríðrikur	SMSNP
Bláhamar	SMSN
heldur	VNPS3
annars	DN
,	KC
at	C
tað	PPNSN
nú	DN
er	VNPS3
tíð	SFSN
upp	DN
á	DN
,	KC
at	C
myndugleikarnir	SMPNA
fara	VNPP3
undir	DN
at	CI
gera	VI
eina	PBFSA
hálkubreyt	SFSA
,	KC
soleiðis	DN
at	C
bilførarar	SMPN
,	KC
ungir	APSMPN
sum	C
eldri	ACSMPN
,	KC
undir	DG
tryggum	APSFPD
umstøðum	SFPD
sleppa	VNPP3
at	CI
venja	VI
seg	PPMSA
í	DG
hálkukoyring	SFSD
.	KE

Støða	SFSN
skal	VNPS3
takast	VE
til	DG
hópin	SMSAA
av	DG
málum	SNPD
.	KE

Í	DG
tilmælinum	SNSDA
verður	VNPS3
m.a.	TS
sett	VANSN
upp	DN
,	KC
at	C
manningar	SMPN
á	DG
seismikkskipum	SNPD
skulu	VNPP3
gjalda	VI
skatt	SMSA
her	DN
.	KE

Eingin	PBMSN
ivi	SMSN
er	VNPS3
um	DN
,	KC
at	C
vit	PP1PN
eiga	VI
at	CI
leggja	VI
viðurskiftini	SNPAA
soleiðis	DN
til	DG
rættis	SMSG
,	KC
at	CI
oljuvirksemið	SNSNA
skapar	VNPS3
mest	DSN
møguligt	APSNSA
arbeiði	SNSA
her	DN
á	DG
landi	SNSD
og	C
leggur	VNPS3
mest	DSN
møguligt	APSNSN
eftir	DG
seg	PPMSA
her	DN
.	KE

Tað	PPNSN
kann	VNPS3
væl	DN
verða	VI
at	CI
tað	PPNSN
endar	VNPS3
við	DG
Dúgvuni	SFSDA
kortini	DN

Men	C
skotbráið	SNSNA
er	VNPS3
stutt	APSNSN
og	C
møguleikarnir	SMPNA
tí	DN
ógvuliga	DN
avmarkaðir	APSMPN
.	KE

Loysnin	SFSNA
má	VNPS3
standa	VI
í	DG
rímiligt	APSNSA
mát	SNSA
til	DG
tíðina	SFSAA
,	KC
hon	PPFSN
skal	VNPS3
brúkast	VE
.	KE

Hann	PPMSN
vísti	VNAS3
á	DG
henda	PDMSA
óbendiliga	DN
tørvin	SMSAA
,	KC
sum	CR
tingmenn	SMPN
hava	VNPP3
at	CI
nýta	VI
fíggjarlógina	SFSAA
at	CI
»	KQ
gera	VI
gott	DN
við	DN
«	KQ
,	KC
og	C
hvussu	DN
stórar	APSFPA
upphæddir	SFPA
júst	DN
hetta	PDNSN
málið	SNSNA
sýr	VNPS3
seg	PPNSA
um	DN
.	KE

Hann	PPMSN
vísti	VNAS3
eisini	DN
á	DN
,	KC
at	CI
tað	PPNSN
bara	DN
eru	VNPP3
kávalótir	SFPN
at	CI
siga	VI
,	KC
at	CI
tað	PPNSN
er	VNPS3
tað	PDNSN
almenna	APSNSN
ella	C
fakfeløg	SNPN
,	KC
ið	CR
eiga	VNPP3
at	CI
hava	VI
ábyrgdina	SFSAA
av	DG
aldurdóminum	SMSDA
.	KE

Nú	DN
summarið	SNSNA
nærkast	VE
,	KC
er	VNPS3
tað	PPNSN
eisini	DN
tíðin	SFSNA
,	KC
tá	C
seismikkskipini	SNPNA
plaga	VNPP3
at	CI
koma	VI
aftur	DN
á	DG
Føroyaleiðina	SFSAA
at	CI
gera	VI
kanningar	SFPA
.	KE

Leif	SMSNP
Larsen	SXP
sigur	VNPS3
,	KC
at	CI
hóast	C
seismikkfeløgini	SNPNA
í	DG
hvør	PBMSN
sínum	PPNSD
lag	SNSD
royna	VNPP3
at	CI
loysa	VI
gordiska	APWMSA
knútin	SMSA
og	CI
síggja	VI
niður	DN
gjøgnum	DG
basaltið	SNSAA
,	KC
so	DN
er	VNPS3
enn	DN
eingin	PBFSN
endalig	APSFSN
loysn	SFSN
funnin	VAFSN
.	KE

Heldur	DCN
vilja	VNPP3
tey	PPNPN
?	KE

Tosa	VI
við	DG
tveimum	NCFPD
tungum	SFPD

Tað	PPNSN
er	VNPS3
ikki	DN
ráðiligt	APSNSN
at	CI
bíða	VI
longur	DN

Tað	PPNSN
er	VNPS3
galdandi	VP
í	DG
hesum	PDNSD
máli	SNSD
eins	C
í	DG
so	DN
nógvum	APSNPD
øðrum	PBNPD
,	KC
sum	C
Landsstýrið	SNSNA
ger	VNPS3
sáttmálar	SMPA
,	KC
sigur	VNPS3
Eilif	SMSNP
Samuelsen	SXP
.	KE

Eg	PP1SN
haldi	VNPS1
,	KC
at	C
vit	PP1PN
í	DG
virðing	SFSD
fyri	DG
hvør	PBNPD
øðrum	PBNPD
skulu	VNPP3
samráðast	VI
til	DN
vit	PP1PN
koma	VNPP3
til	DG
eitt	PBNSA
úrslit	SNSA
,	KC
sigur	VNPS3
Eilif	SMSNP
Samuelsen	SXP
.	KE

Hon	PPFSN
er	VNPS3
á	DG
øllum	PBNPD
arbeiðsplássum	SNPD
,	KC
í	DG
nógvum	APSMPD
heimum	SNPD
og	C
er	VNPS3
av	DG
álvara	SMSD
á	DG
veg	SMSA
inn	DN
í	DG
allar	PBMPA
skúlarnar	SMPAA
í	DG
Føroyum	SFPDP
.	KE

Telduarbeiði	SNSN
gevur	VNPS3
tær	PP2SD
eitt	PBNSA
læst	APSNSA
arbeiðsumhvørvi	SNSA
,	KC
har	DN
tú	PP2SN
situr	VNPS2
í	DG
eini	PBFSD
læstari	APSFSD
støðu	SFSD
framman	DN
fyri	DG
skíggjan	SMSAA
.	KE

Fleiri	ACSNPN
hava	VNPP3
fingið	VANSN
skurðviðgerð	SFSA
,	KC
men	C
tað	PPNSN
er	VNPS3
ikki	DN
nøkur	PBFSN
varandi	VP
loysn	SFSN
um	C
ein	PBMSA
kemur	VNPS3
í	DG
sama	PINSA
arbeiðsumhvørvi	SNSA
aftur	DN
,	KC
sigur	VNPS3
Leila	SFSNP
á	DG
Lofti	SNSDP
.	KE

Og	C
hjá	DG
teimum	PPNPD
flestu	ASWNPD
ber	VNPS3
til	DN
.	KE

Tá	DN
er	VNPS3
tað	PPNSN
av	DG
stórum	APSMSD
týdningi	SMSD
,	KC
at	C
arbeiðsfólkið	SNSNA
stuðlar	VNPS3
hvønn	PBNSA
annan	PBNSA
,	KC
og	C
at	C
tað	PPNSN
verður	VNPS3
virt	VANSN
,	KC
at	C
onkur	PBMSN
fer	VNPS3
frá	DN
at	CI
fáa	VI
hvíld	SFSA
.	KE

-	KO
Tað	PPNSN
óhugnaliga	APSNSN
er	VNPS3
,	KC
at	C
børnini	SNPNA
reint	DN
motoriskt	APSNSN
ikki	DN
verða	VNPP3
ment	VANPN
,	KC
tí	C
samspælið	SNSNA
millum	DG
vøddar	SMPA
,	KC
nervar	SMPA
og	C
heila	SMSA
verður	VNPS3
ikki	DN
stimbrað	VANSN
.	KE

Nú	DN
liggur	VNPS3
restin	SFSNA
í	DG
hondunum	SFPDA
á	DG
framsýnarum	SMPD
og	C
gestum	SMPD
,	KC
sigur	VNPS3
formaðurin	SMSNA
í	DG
TB	TS

Og	C
fleiri	DCN
av	DG
framsýnarunum	SMPDA
hava	VNPP3
sjálvandi	DN
heilt	DN
serlig	APSNPA
stevnutilboð	SNPA
,	KC
so	DN
tann	PDMSN
,	KC
sum	CR
liggur	VNPS3
framvið	DN
,	KC
kann	VNPS3
gera	VI
kvettið	SNSAA
.	KE

Annars	DN
eru	VNPP3
framsýnarar	SMPN
úr	DG
øllum	PBNSD
landinum	SNSDA
líka	DN
norðan	DN
úr	DG
Klaksvík	SFSDP
,	KC
vestur	DN
í	DG
Vágar	SFPAP
og	C
suður	DN
til	DG
Vágs	SMSGP
.	KE

Umframt	DN
høvuðsvinningin	SMSAA
verður	VNPS3
hvørt	PBNSA
kvøld	SNSA
drigið	VANSN
um	DG
aðrar	PBMPA
vinningar	SMPA
,	KC
sum	C
framsýnararnir	SMPNA
skiftast	VEPP3
um	DG
at	CI
lata	VI
.	KE

Aðrar	PBFPN
fyritøkur	SFPN
nýttu	VNAP3
hinvegin	DN
høvið	SNSAA
til	DN
at	CI
vísa	VI
hvat	PQNSA
teir	PPMPN
selja	VNPP3
og	C
hvør	PBMSN
dugur	SMSN
er	VNPS3
í	DG
tí	PDFSD
.	KE

Íslendska	APWFSN
vøran	SFSNA
er	VNPS3
stak	DN
góð	APSFSN
og	C
stendur	VNPS3
einki	DN
aftanfyri	DG
tað	PPNSA
føroyingar	SMPN
